معلومات الصفحة ,Page Name,Page Category,Followers_Count,Country,Language,معلومات المنشور ,Post ID,Platform,Publish_Date,Publish_Time,Day,Season,Campaign_Type,المنتج,Product_Name,Product_Category,Brand_Name,Price,Discount,Campaign Goal,المحتوى النصي ,Caption,Caption Length,CTA,Number of CTAs,Hashtags,Number of Hashtags,Emoji Count,Word Count,Language.1,Tone,Writing Style,الصورة ,Image,Number of Products,Contains Human,Dominant Colors,Logo Position,Text in Image,بيانات الاداء ,Likes,Comments,Shares,Reactions,Reach,Engagement Rate,CTA_Presence,CTA_Type,CTA_Text,Hook_Type,Content_Pillar,Dialect,Time_Bucket,Reaction_Breakdown_Total,Public_Interactions,Weighted_Engagement,Public_Engagement_Rate,Relative_Performance_Index,Performance_Class,Is_Product_Post,Hashtag_List,Image_Count,Visual_Style,Layout_Type,Data_Quality_Notes,image_path,Unnamed: 67,Campaign_Type.1
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,1,Facebook,7/17/2026,10:16 AM,الجمعة,الصيف,Product Promotion + Giveaway,,Galaxy A07,Mobile,Samsung,200$,,Sales Conversion,,"داء يعتمد عليه… وسعر ما بينحكى فيه >>> 
🔋 بطارية 5000mAh تكفّي يومك
⚡ شاحن 15W مرفق
🎁 هدية جاهزة من دولاب الحظ
ومو بس هيك…
ادخل السحب الأكبر:
🚗 96 سيارة Kia Sonet
📺 960 شاشة سامسونج 55""
القرار واضح… والفرصة أسرع من ما تتوقع
",228,Yes,1,No,0,5,39,Arabic,"Promotional, Urgent",Benefit-led; Giveaway close,,,1,No,#C0C9D6 (light blue); #8C9CAD (blue); #456C7A (cyan),Samsung: top-left; Al Boraq: top-right,Galaxy A07; 5000 mAh; 96 cars; 960 screens,,53,63,1,"Like = 50
Love = 3
Haha = 0
Wow =0
Care =0
Angry =0
Sad = 0",,,Explicit,Enter giveaway,ادخل السحب الأكبر,Benefit / value hook,Offers & Giveaways,Syrian Arabic with MSA/English product terms,Morning,53,117,182,0.01%,0.04,0,Yes,,1,Product offer composite,Centered product with headline,Caption appears to begin with a missing initial character or word.,data/images/image1.jpg,,Lead Generation
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,2,Facebook,7/16/2026,3:30 PM,الخميس,الصيف,Product Promotion,,BMS 100W Charger,Mobile Charger,BMS,50$,,Lead Generation,,"شاحن واحد… لكل أجهزتك!
ودّع زحمة الشواحن والأسلاك مع شاحن BMS بقوة تصل إلى 100W ⚡
اشحن موبايلك، التابلت، الساعة والسماعات من شاحن واحد وبأداء سريع وفعال.
قوة أكبر… ترتيب أكثر… وتجربة شحن تناسب كل يومك.
متوفر الآن لدى البراق.
للطلب والاستفسار تواصلوا معنا.",255,Yes,1,No,0,1,39,Arabic,Informative,Problem-solution; Feature-benefit; Direct CTA,,,1,No,#BC9168 (orange); #F2F2F2 (white); #262438 (dark blue),Samsung: top-left; Al Boraq: top-right,BMS; شاحن 100W,,437,750,3,"Like = 424
Love = 13
Haha = 0
Wow =0
Care =1
Angry =0
Sad = 0",,,Explicit,Learn More,للطلب والاستفسار تواصلوا معنا,Problem-solution hook,Product Features,Syrian Arabic with MSA/English product terms,Afternoon,438,1190,1946,0.10%,0.38,0,Yes,,1,Lifestyle infographic,Centered product with headline,,data/images/image2.jpg,,Sales Conversion
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,3,Facebook,7/15/2026,11:20 PM,الأربعاء,الصيف,Product Launch + Giveaway,,Galaxy S25 FE,Mobile,Samsung,560$,,Sales Conversion,,"🔥 جاهز للضربة القوية؟
مفاجأة الموسم وصلت… واسمها Samsung S25 FE 👀
جهاز بفخامة فئة S بسعر اقتصادي .
🎁 هدايا فورية مع كل عملية شراء
ولأن الحماس ما بيوقف هون 👇
🚗 دخول مباشر على سحب :
96 سيارة كيا سونيت 2026
  960 شاشة 4K سامسونج 
 جهاز قوي… مع هدية تغيّر يومك 😏
✔️ ضمان الوكيل المعتمد ⚠️ الكمية محدودة جداً",309,Yes,1,No,0,8,56,Arabic,"Playful, Promotional, Urgent",Question hook; Product reveal; Giveaway,,,1,No,#E8EBF1 (white); #619EA9 (cyan); #90CAD5 (light cyan),Samsung: top-left; Al Boraq: top-right,S25 FE; متوفر الآن,,819,3100,6,"Like = 784
Love = 29
Haha = 1
Wow =2
Care =3
Angry =0
Sad = 0",,,Implicit,Buy,الكمية محدودة جداً,Question + product reveal,New Arrivals & Giveaways,Syrian Arabic with MSA/English product terms,Late Night,819,3925,7037,0.33%,1.37,1,Yes,,1,Product hero poster,Centered product with headline,,data/images/image3.jpg,,Brand Awareness
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,4,Facebook,7/15/2026,9:37 AM,الأربعاء,الصيف,Product Launch + Giveaway,,Galaxy A27,Mobile,Samsung,300$,,Sales Conversion,,"الجديد وصل… والفرصة صارت أكبر 🔥
أحدث إصدارات Galaxy A وصل الآن حصرياً
 ليمنحك تجربة جديدة تجمع بين الأداء والتصميم العصري ... 
اشترِ Galaxy A27 من البراق وادخل مباشرةً في أضخم سحب جوائز في سوريا:
🚗 96 سيارة Kia Sonet بانتظار أصحابها
📺 960 شاشة Samsung 4K ذكية
🎁 هدية فورية من دولاب الحظ
💥 الدفعة الأولى حصرياً لدى البراق والكمية محدودة…
كن من الأوائل واحصل على جهازك الآن!",377,Yes,2,No,0,5,63,Arabic,"Promotional, Urgent",Announcement; Feature-benefit; Scarcity,,,1,No,#FFFFFF (white); #BEC3E0 (light blue); #A4E1E7 (light cyan),Samsung: top-left; Al Boraq: top-right,Galaxy A27; NEW,,3000,4300,15,"Like = 2800
Love = 107
Haha = 0
Wow =1
Care =8
Angry =0
Sad = 1",,,Explicit,Buy,اشترِ Galaxy A27 وادخل السحب؛ احصل على جهازك الآن,New-arrival announcement,New Arrivals & Giveaways,Syrian Arabic with MSA/English product terms,Morning,2917,7315,11645,0.61%,2.27,1,Yes,,1,Product hero poster,Centered product with headline,Product name standardized from 'A 27' to 'Galaxy A27'.,data/images/image4.jpg,,Brand Awareness
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,5,Facebook,7/15/2026,2:24 AM,الأربعاء,الصيف,Product Education,,Samsung Jet Stick Vacuum,Vacuum Cleaner,Samsung,800$,,Product Education,,"نقاء يتجاوز التوقعات.. لبيئة صحية تليق بأسلوب حياتك. ✨🍃
اكتشف القوة المطلقة لمكنسة سامسونج Jet Stick من البراق؛ حيث تجتمع تكنولوجيا الفلترة الفائقة (99.999%) مع التصميم العصري...
بطارية تدوم طويلا  لتمنحك هواءً نقياً ونظافة استثنائية في أي وقت. 💎
اكتشفوا مجموعتنا الكاملة في صالات البراق. ",291,Yes,1,No,0,3,42,Arabic,"Premium, Informative",Premium descriptive; Feature-benefit,,,1,No,#6EA3A0 (teal); #534F43 (dark yellow); #D2DFDE (light gray),Samsung: top-left; Al Boraq: top-right,تنظيف أقوى وهواء أنقى,,294,502,10,"Like = 274
Love = 19
Haha = 0
Wow =0
Care =1
Angry =0
Sad = 0",,,Explicit,Learn More,اكتشفوا مجموعتنا الكاملة في صالات البراق,Aspirational benefit,Product Education,Modern Standard Arabic,Late Night,294,806,1328,0.07%,0.26,0,Yes,,1,Lifestyle infographic,Human with product and offer bar,,data/images/image5.jpg,,Product Education
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,6,Facebook,7/14/2026,10:33 PM,الثلاثاء,الصيف,Price Promotion + Giveaway,,Galaxy A56,Mobile,Samsung,390$,,Sales Conversion,,"لأنك تستحق الأفضل، Galaxy A56 الآن بالسعر الجديد كلياً! 💥
جهاز Galaxy A56<  امتلك القوة التي تقودك لربح العمر في أضخم سحب تشهده سوريا:
🚗 96 سيارة Kia Sonet بانتظار أصحابها.
📺 960 شاشة 4K ذكية لتكتمل رفاهيتك.
🎁 هدية فورية بانتظارك من دولاب الحظ.
الفرصة الآن.. السعر الجديد بانتظارك في فروعنا. ",296,Yes,1,No,0,4,47,Arabic,"Promotional, Premium",Value proposition; Giveaway,,,1,No,#FFFFFF (white); #CCE9E8 (light teal); #A1B5CB (blue),Samsung: top-left; Al Boraq: top-right,Galaxy A56 بالسعر الجديد,,1400,4100,5,"Like = 1300
Love = 52
Haha = 0
Wow =0
Care =6
Angry =0
Sad = 0",,,Implicit,Learn More,السعر الجديد بانتظارك في فروعنا,Value / entitlement hook,Offers & Giveaways,Syrian Arabic with MSA/English product terms,Late Night,1358,5505,9615,0.46%,1.88,1,Yes,,1,Lifestyle infographic,Centered product with headline,,data/images/image6.jpg,,Sales Conversion
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,7,Facebook,7/14/2026,8:25 AM,الثلاثاء,الصيف,Product Promotion + Giveaway,,Galaxy Tab S11 Ultra,Tablet,Samsung,"1,060$",,Sales Conversion,,"مستعد للسيطرة على أكبر مساحة إبداع في العالم؟ 🌌🚀
لا تسمّه مجرد ""تابلت""، بل هو محطة عمل متكاملة! 
مع شاشة 14.6 إنش العملاقة، لن تحتاج للتدقيق في التفاصيل.. التفاصيل هي من ستأتي إليك. 🖥️✨
لماذا Galaxy Tab S11 Ultra من البراق؟
⚡ سرعة البرق: معالج خارق يسبق أفكارك...
🎬 شاشة سينمائية: 14.6 إنش من النقاء البصري، تجعل العمل واللعب تجربة غامرة 
المفاجأة الأكبر؟ 🎁
افتح أبواب الفوز بـواحدة من 96 سيارة Kia Sonet و 960 شاشة 4K ذكية، 
بالإضافة لهديتك الفورية من دولاب الحظ! 🎁
السرعة، الحجم، والربح.. اجتمعت كلها في مكان واحد.
📍 الكمية محدودة جداً! ",546,Yes,1,No,0,9,90,Arabic,"Playful, Premium, Promotional",Question hook; Feature list; Giveaway,,,1,No,#B4C8E1 (light blue); #759BB8 (blue); #DDE1EE (white),Samsung: top-left; Al Boraq: top-right,Tab S11 Ultra; شغلك بدون حدود,,491,1400,7,"Like = 469
Love = 20
Haha = 0
Wow =0
Care =2
Angry =0
Sad = 0",,,Implicit,Buy,الكمية محدودة جداً,Question / ambition hook,Product Features & Giveaways,Syrian Arabic with MSA/English product terms,Morning,491,1898,3312,0.16%,0.65,0,Yes,,1,Product hero poster,Centered product with headline,,data/images/image7.jpg,,Lead Generation
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,8,Facebook,7/14/2026,3:39 AM,الثلاثاء,الصيف,Product Promotion + Giveaway,,Galaxy S25 Ultra,Mobile,Samsung,890$,,Sales Conversion,,"🚨مع البراق ...  اللعبة دايما لصالحك ! 🔥
مو خيال… الجهاز المحبوب Samsung Galaxy S25 Ultra
مع قوة الـ AI اللي فيه ... وقوة معالج و كاميرا خيالية ... 
والأقوى؟ 🎁 هدية فورية من دولاب الحظ
وادخل مباشرةً على أضخم سحب:
🚗 96 سيارة. 📺 960 شاشة 55""
💥 مو بس موبايل… فرصة تغيّر يومك كله
مع البراق… الذكاء صار بإيدك 😏",311,Yes,1,No,0,7,56,Arabic,"Playful, Promotional",Conversational hook; Product-benefit; Giveaway,,,1,Yes,#718393 (blue); #B6CDD6 (light cyan); #466376 (cyan),Samsung: top-left; Al Boraq: top-right,S25 Ultra; AI features,,926,3200,10,"Like = 881
Love = 40
Haha = 1
Wow =0
Care =4
Angry =0
Sad = 0",,,Explicit,Enter giveaway,ادخل مباشرةً على أضخم سحب,Playful brand hook,AI / Product Features & Giveaways,Syrian Arabic with MSA/English product terms,Late Night,926,4136,7356,0.34%,1.44,1,Yes,,1,Lifestyle infographic,Human with product and offer bar,,data/images/image8.jpg,,Lead Generation
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,9,Facebook,7/12/2026,10:02 AM,الأحد,الصيف,Product Education,,Samsung HW-B450F Soundbar,Soundbar,Samsung,250$,,Store Visits,,"عيش الرفاهية بكل حواسك. 🔊✨
حوّل صالتك إلى تجربة سينمائية متكاملة مع ساوند بار سامسونج HW-B450F. 
تقنيات صوتية ذكية وبيس (Bass) عميق يضعك في قلب الحدث، بمستوى من النقاء يليق ببيتك.
اسمع الفرق بنفسك وعِش التجربة: 
📍 اسئل عن صالاتنا المنزلية ",241,Yes,1,No,0,3,39,Arabic,"Premium, Emotional",Sensory storytelling; Feature-benefit; Store CTA,,,1,Yes,#3E423C (dark gray); #C3CFCB (light gray); #FAFDFC (white),Samsung: top-left; Al Boraq: top-right,إذا الصوت هو الفرق الحقيقي,,2100,725,11,"Like = 2000
Love = 49
Haha = 0
Wow =0
Care =8
Angry =0
Sad = 0",,,Explicit,Learn More,اسأل عن صالاتنا المنزلية,Sensory aspiration,Home Entertainment Education,Syrian Arabic with MSA/English product terms,Morning,2057,2836,3583,0.24%,0.7,0,Yes,,1,Lifestyle infographic,Centered product with headline,,data/images/image9.jpg,,Product Education
,Al Boraq Telecom‎‏,In-store shopping,1200000,Syria,Arabic,,10,Facebook,7/11/2026,11:20 PM,السبت,الصيف,Product Promotion + Giveaway,,Galaxy A57,Mobile,Samsung,525$,,Sales Conversion,,"🚨 لحظة… إذا جهازك بيدخّلك لعالم تاني… ليش ما يطلّعك بسيارة؟ 😏🔥
جهاز Galaxy A57 ... السلسلة الأقوى !! 
أداء جبّار … تجربة بتسحبك لجوا اللعبة 👀✨
💥 معالج Exynos الخطيير ..  لسلاسة بدون تقطيع
والمفاجأة 👇
🎁 هدية فوريّة من دولاب الحظ
🚗 96 سيارة KIA SONET موديل 2026
📺 960 شاشة Samsung 55""
مو بس موبايل… فرصة تغيّر حياتك 💥",325,No,0,No,0,11,55,Arabic,"Playful, Urgent, Promotional",Question hook; Feature-benefit; Giveaway,,,1,Yes,#131C22 (black); #7D878D (cyan); #C5B7B9 (light gray),Samsung: top-left; Al Boraq: top-right,Galaxy A57; أداء يسبق خطواتك,,2900,2500,16,"Like = 2800
Love = 85
Haha = 0
Wow =0
Care =10
Angry =2
Sad = 2",,,,,,Provocative question,Gaming / Product Features & Giveaways,Syrian Arabic with MSA/English product terms,Late Night,2899,5416,7948,0.45%,1.55,1,Yes,,1,Lifestyle infographic,Human with product and offer bar,,data/images/image10.jpg,,Lead Generation
